Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,09:56:43:718,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
2,09:56:44:572,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
3,09:56:46:024,TileFrenzy Sphere,16ML9 - 080,0.869s,2,1,0.5,1,2,0.5,false
4,09:56:46:713,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
5,09:56:47:297,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
6,09:56:47:930,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
7,09:56:48:838,TileFrenzy Sphere,16ML9 - 080,0.358s,2,1,0.5,1,2,0.5,false
8,09:56:49:330,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
9,09:56:49:838,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
10,09:56:50:388,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
11,09:56:50:888,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
12,09:56:51:764,TileFrenzy Sphere,16ML9 - 080,0.408s,2,1,0.5,1,2,0.5,false
13,09:56:52:273,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
14,09:56:52:939,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
15,09:56:53:439,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
16,09:56:54:222,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
17,09:56:54:764,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
18,09:56:55:506,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
19,09:56:55:897,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
20,09:56:56:481,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
16ML9 - 080,23,20,20.0,23.0,

Kills:,20
Deaths:,0
Fight Time:,1.636
Avg TTK:,0.082
Damage Done:,20.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,17.391304
Scenario:,5 Sphere Endurance Hipfire
Hash:,790f8de704be4987a056fe9c82c3b0d2
Game Version:,1.0.7.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,3.0
Vert Sens:,3.0
FOV:,104.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
