Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,09:57:09:834,TileFrenzy Sphere,16ML9 - 080,0.341s,2,1,0.5,1,2,0.5,false
2,09:57:10:518,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
3,09:57:11:434,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
4,09:57:12:242,TileFrenzy Sphere,16ML9 - 080,0.491s,2,1,0.5,1,2,0.5,false
5,09:57:12:651,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
6,09:57:13:826,TileFrenzy Sphere,16ML9 - 080,0.667s,2,1,0.5,1,2,0.5,false
7,09:57:14:542,TileFrenzy Sphere,16ML9 - 080,0.325s,2,1,0.5,1,2,0.5,false
8,09:57:15:543,TileFrenzy Sphere,16ML9 - 080,0.367s,2,1,0.5,1,2,0.5,false
9,09:57:16:401,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
10,09:57:16:976,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
11,09:57:17:451,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
12,09:57:18:101,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
13,09:57:18:768,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
14,09:57:19:709,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
15,09:57:20:292,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
16,09:57:20:809,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
16ML9 - 080,22,16,16.0,22.0,

Kills:,16
Deaths:,0
Fight Time:,2.192
Avg TTK:,0.137
Damage Done:,16.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,11.636364
Scenario:,5 Sphere Endurance Hipfire
Hash:,790f8de704be4987a056fe9c82c3b0d2
Game Version:,1.0.7.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,3.0
Vert Sens:,3.0
FOV:,104.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
