Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:44:06:168,Apex,Wingman,21.377s,16,7,0.438,315,1440,0.219,false
2,23:44:21:745,Apex 100,Wingman,14.173s,16,5,0.312,225,1440,0.156,false
3,23:44:26:631,Apex,Wingman,2.452s,3,1,0.333,45,270,0.167,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Pump,0,0,0.0,0.0,
Wingman,42,14,630.0,3780.0,

Kills:,3
Deaths:,0
Fight Time:,38.001999
Avg TTK:,12.667
Damage Done:,630.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,8250.604492
Score:,360.0
Scenario:,Apex Legends
Hash:,ed84dc95428c12fd56666031b9237fed
Game Version:,1.0.7.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,3.0
Vert Sens:,3.0
FOV:,104.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
