Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:44:52:019,Apex 100,Wingman,7.741s,9,3,0.333,135,810,0.167,false
2,23:45:14:707,Apex 100,Wingman,20.955s,17,4,0.235,180,1530,0.118,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Pump,0,0,0.0,0.0,
Wingman,36,8,360.0,3240.0,

Kills:,2
Deaths:,0
Fight Time:,28.695999
Avg TTK:,14.348
Damage Done:,360.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,8066.30127
Score:,146.666672
Scenario:,Apex Legends
Hash:,ed84dc95428c12fd56666031b9237fed
Game Version:,1.0.7.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,3.0
Vert Sens:,3.0
FOV:,104.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
