Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:54:05:347,Long Strafe Bot,Manwing,7.218s,7,3,0.429,600,2800,0.214,false
2,10:54:19:658,Long Strafe Bot,Manwing,12.509s,8,3,0.375,600,3200,0.188,false
3,10:54:32:089,Long Strafe Bot,Manwing,9.584s,8,3,0.375,600,3200,0.188,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Manwing,39,11,2200.0,15600.0,

Kills:,3
Deaths:,0
Fight Time:,29.311001
Avg TTK:,9.77
Damage Done:,2200.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,2640.0
Scenario:,Ascended Manwing
Hash:,c87f56931e71991dcb007a58d590f53a
Game Version:,1.0.7.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,3.0
Vert Sens:,3.0
FOV:,104.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
