Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:56:35:470,Long Strafe Bot,Manwing,12.243s,9,3,0.333,600,3600,0.167,false
2,10:56:41:357,Long Strafe Bot,Manwing,3.818s,4,3,0.75,600,1600,0.375,false
3,10:56:49:725,Long Strafe Bot,Manwing,5.375s,4,3,0.75,600,1600,0.375,false
4,10:56:58:363,Long Strafe Bot,Manwing,6.326s,6,3,0.5,600,2400,0.25,false
5,10:57:15:931,Long Strafe Bot,Manwing,16.091s,12,3,0.25,600,4800,0.125,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Manwing,38,16,3200.0,15200.0,

Kills:,5
Deaths:,0
Fight Time:,43.853001
Avg TTK:,8.771
Damage Done:,3200.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,3840.000244
Scenario:,Ascended Manwing
Hash:,c87f56931e71991dcb007a58d590f53a
Game Version:,1.0.7.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,3.0
Vert Sens:,3.0
FOV:,104.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
