Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,13:48:23:722,Long Strafe Bot,ADSable Hitscan Cone,4.77s,2639,537,0.203,500,2400,0.208,false
2,13:48:29:856,Long Strafe Bot,ADSable Hitscan Cone,5.876s,3090,500,0.162,500,2810,0.178,false
3,13:48:34:259,Long Strafe Bot,ADSable Hitscan Cone,4.145s,2155,558,0.259,512,1960,0.261,false
4,13:48:40:894,Long Strafe Bot,ADSable Hitscan Cone,6.376s,3387,543,0.16,502,3080,0.163,false
5,13:48:44:920,Long Strafe Bot,ADSable Hitscan Cone,3.767s,1979,551,0.278,502,1800,0.279,false
6,13:48:51:435,Long Strafe Bot,ADSable Hitscan Cone,6.256s,3332,629,0.189,573,3030,0.189,false
7,13:48:57:861,Long Strafe Bot,ADSable Hitscan Cone,6.175s,3288,494,0.15,455,2990,0.152,false
8,13:49:02:879,Long Strafe Bot,ADSable Hitscan Cone,4.759s,2529,667,0.264,624,2300,0.271,false
9,13:49:05:638,Long Strafe Bot,ADSable Hitscan Cone,2.501s,1319,360,0.273,360,1200,0.3,false
10,13:49:09:256,Long Strafe Bot,ADSable Hitscan Cone,3.36s,1748,502,0.287,502,1590,0.316,false
11,13:49:15:172,Long Strafe Bot,ADSable Hitscan Cone,5.655s,2947,547,0.186,505,2680,0.188,false
12,13:49:20:597,Long Strafe Bot,ADSable Hitscan Cone,5.168s,2617,508,0.194,508,2380,0.213,false
13,13:49:26:884,Long Strafe Bot,ADSable Hitscan Cone,6.028s,3200,553,0.173,508,2910,0.175,false
14,13:49:35:019,Long Strafe Bot,ADSable Hitscan Cone,7.876s,4234,500,0.118,500,3850,0.13,false
15,13:49:39:686,Long Strafe Bot,ADSable Hitscan Cone,4.409s,2276,505,0.222,505,2070,0.244,false
16,13:49:46:113,Long Strafe Bot,ADSable Hitscan Cone,6.169s,3288,533,0.162,508,2990,0.17,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
ADSable Hitscan Cone,44468,8543,8118.0,40440.0,

Kills:,16
Deaths:,0
Fight Time:,83.290001
Avg TTK:,5.206
Damage Done:,8118.0
Damage Taken:,0.0
Midairs:,130
Midaired:,0
Directs:,425
Directed:,0
Distance Traveled:,0.0
Score:,1629.622314
Scenario:,Ascended Tracking 90
Hash:,d561427136bc52d183c96a3f6c8c26aa
Game Version:,1.0.7.1

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,5.0
Vert Sens:,5.0
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
