Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,02:33:36:919,Long Strafe Bot,ADSable Hitscan Cone,5.788s,2496,551,0.221,507,2270,0.223,false
2,02:33:45:846,Long Strafe Bot,ADSable Hitscan Cone,8.664s,2441,548,0.224,505,2220,0.227,false
3,02:33:52:130,Long Strafe Bot,ADSable Hitscan Cone,6.027s,2364,555,0.235,508,2150,0.236,false
4,02:33:58:277,Long Strafe Bot,ADSable Hitscan Cone,5.897s,3112,554,0.178,507,2830,0.179,false
5,02:34:06:068,Long Strafe Bot,ADSable Hitscan Cone,7.527s,3552,502,0.141,501,3230,0.155,false
6,02:34:12:729,Long Strafe Bot,ADSable Hitscan Cone,6.403s,2892,546,0.189,500,2630,0.19,false
7,02:34:20:949,Long Strafe Bot,ADSable Hitscan Cone,7.964s,3607,524,0.145,509,3280,0.155,false
8,02:34:26:657,Long Strafe Bot,ADSable Hitscan Cone,5.455s,2628,508,0.193,500,2390,0.209,false
9,02:34:35:380,Long Strafe Bot,ADSable Hitscan Cone,8.693s,4652,994,0.214,942,4230,0.223,false
10,02:34:36:808,Long Strafe Bot,ADSable Hitscan Cone,1.186s,659,70,0.106,67,600,0.112,false
11,02:34:42:084,Long Strafe Bot,ADSable Hitscan Cone,5.011s,2386,546,0.229,506,2170,0.233,false
12,02:34:48:243,Long Strafe Bot,ADSable Hitscan Cone,5.606s,3090,553,0.179,501,2810,0.178,false
13,02:34:56:473,Long Strafe Bot,ADSable Hitscan Cone,7.962s,4168,548,0.131,501,3790,0.132,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
ADSable Hitscan Cone,39180,7066,6618.0,35630.0,

Kills:,13
Deaths:,0
Fight Time:,82.182999
Avg TTK:,6.322
Damage Done:,6618.0
Damage Taken:,0.0
Midairs:,121
Midaired:,0
Directs:,448
Directed:,0
Distance Traveled:,0.0
Score:,1229.24292
Scenario:,Ascended Tracking v3
Hash:,46026d159b844451a38af3608d7c9e8a
Game Version:,1.0.7.1

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,5.0
Vert Sens:,5.0
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
