Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,02:41:27:177,Long Strafe Bot,ADSable Hitscan Cone,4.516s,2496,549,0.22,506,2270,0.223,false
2,02:41:31:604,Long Strafe Bot,ADSable Hitscan Cone,4.175s,2144,551,0.257,506,1950,0.259,false
3,02:41:35:520,Long Strafe Bot,ADSable Hitscan Cone,3.657s,1704,557,0.327,507,1550,0.327,false
4,02:41:39:718,Long Strafe Bot,ADSable Hitscan Cone,3.944s,2034,548,0.269,506,1850,0.274,false
5,02:41:46:552,Long Strafe Bot,ADSable Hitscan Cone,6.574s,3277,544,0.166,501,2980,0.168,false
6,02:41:52:648,Long Strafe Bot,ADSable Hitscan Cone,5.835s,3090,500,0.162,500,2810,0.178,false
7,02:41:56:744,Long Strafe Bot,ADSable Hitscan Cone,3.837s,1946,552,0.284,504,1770,0.285,false
8,02:42:02:208,Long Strafe Bot,ADSable Hitscan Cone,5.204s,2727,534,0.196,504,2480,0.203,false
9,02:42:08:346,Long Strafe Bot,ADSable Hitscan Cone,5.886s,2958,547,0.185,503,2690,0.187,false
10,02:42:15:571,Long Strafe Bot,ADSable Hitscan Cone,6.971s,3464,503,0.145,503,3150,0.16,false
11,02:42:19:655,Long Strafe Bot,ADSable Hitscan Cone,3.83s,1781,554,0.311,507,1620,0.313,false
12,02:42:25:350,Long Strafe Bot,ADSable Hitscan Cone,5.443s,2749,606,0.22,598,2500,0.239,false
13,02:42:32:593,Long Strafe Bot,ADSable Hitscan Cone,6.984s,3761,404,0.107,404,3420,0.118,false
14,02:42:38:123,Long Strafe Bot,ADSable Hitscan Cone,5.268s,2782,550,0.198,505,2530,0.2,false
15,02:42:43:550,Long Strafe Bot,ADSable Hitscan Cone,5.177s,2672,613,0.229,561,2430,0.231,false
16,02:42:49:798,Long Strafe Bot,ADSable Hitscan Cone,5.979s,3299,478,0.145,445,3000,0.148,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
ADSable Hitscan Cone,43588,8609,8077.0,39640.0,

Kills:,16
Deaths:,0
Fight Time:,83.279999
Avg TTK:,5.205
Damage Done:,8077.0
Damage Taken:,0.0
Midairs:,164
Midaired:,0
Directs:,532
Directed:,0
Distance Traveled:,0.0
Score:,1645.760132
Scenario:,Ascended Tracking v3
Hash:,46026d159b844451a38af3608d7c9e8a
Game Version:,1.0.7.1

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,5.0
Vert Sens:,5.0
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
