Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:04:34:101,Long Strafe Bot,ADSable Hitscan Cone,3.68s,2034,549,0.27,506,1850,0.274,false
2,08:04:40:568,Long Strafe Bot,ADSable Hitscan Cone,6.214s,2595,502,0.193,502,2360,0.213,false
3,08:04:44:876,Long Strafe Bot,ADSable Hitscan Cone,4.048s,2045,535,0.262,500,1860,0.269,false
4,08:04:49:673,Long Strafe Bot,ADSable Hitscan Cone,4.536s,1957,501,0.256,501,1780,0.281,false
5,08:04:53:283,Long Strafe Bot,ADSable Hitscan Cone,3.35s,1517,542,0.357,501,1380,0.363,false
6,08:04:57:772,Long Strafe Bot,ADSable Hitscan Cone,4.239s,2155,542,0.252,500,1960,0.255,false
7,08:05:01:327,Long Strafe Bot,ADSable Hitscan Cone,3.29s,1638,534,0.326,501,1490,0.336,false
8,08:05:04:271,Long Strafe Bot,ADSable Hitscan Cone,2.681s,1319,550,0.417,503,1200,0.419,false
9,08:05:11:558,Long Strafe Bot,ADSable Hitscan Cone,7.032s,3530,501,0.142,501,3210,0.156,false
10,08:05:17:492,Long Strafe Bot,ADSable Hitscan Cone,5.673s,2826,546,0.193,501,2570,0.195,false
11,08:05:21:230,Long Strafe Bot,ADSable Hitscan Cone,3.476s,1759,555,0.316,505,1600,0.316,false
12,08:05:25:949,Long Strafe Bot,ADSable Hitscan Cone,4.463s,2144,545,0.254,505,1950,0.259,false
13,08:05:32:341,Long Strafe Bot,ADSable Hitscan Cone,6.135s,2727,551,0.202,509,2480,0.205,false
14,08:05:37:991,Long Strafe Bot,ADSable Hitscan Cone,5.385s,2705,555,0.205,507,2460,0.206,false
15,08:05:44:314,Long Strafe Bot,ADSable Hitscan Cone,6.07s,3156,546,0.173,546,2870,0.19,false
16,08:05:49:754,Long Strafe Bot,ADSable Hitscan Cone,5.186s,2738,456,0.167,456,2490,0.183,false
17,08:05:54:170,Long Strafe Bot,ADSable Hitscan Cone,4.155s,2100,544,0.259,503,1910,0.263,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
ADSable Hitscan Cone,41200,9567,9018.0,37470.0,

Kills:,17
Deaths:,0
Fight Time:,79.613998
Avg TTK:,4.683
Damage Done:,9018.0
Damage Taken:,0.0
Midairs:,158
Midaired:,0
Directs:,549
Directed:,0
Distance Traveled:,0.0
Score:,2170.38501
Scenario:,Ascended Tracking v3
Hash:,46026d159b844451a38af3608d7c9e8a
Game Version:,1.0.7.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,3.0
Vert Sens:,3.0
FOV:,104.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
