Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:12:03:399,Long Strafe Bot,ADSable Hitscan Cone,4.177s,2309,544,0.236,503,2100,0.24,false
2,08:12:07:895,Long Strafe Bot,ADSable Hitscan Cone,4.238s,1924,543,0.282,504,1750,0.288,false
3,08:12:13:144,Long Strafe Bot,ADSable Hitscan Cone,4.994s,1979,502,0.254,502,1800,0.279,false
4,08:12:17:364,Long Strafe Bot,ADSable Hitscan Cone,3.964s,2034,537,0.264,500,1850,0.27,false
5,08:12:21:232,Long Strafe Bot,ADSable Hitscan Cone,3.607s,1627,559,0.344,508,1480,0.343,false
6,08:12:24:097,Long Strafe Bot,ADSable Hitscan Cone,2.612s,1220,500,0.41,500,1110,0.45,false
7,08:12:29:279,Long Strafe Bot,ADSable Hitscan Cone,4.918s,2276,558,0.245,509,2070,0.246,false
8,08:12:35:655,Long Strafe Bot,ADSable Hitscan Cone,6.12s,2122,558,0.263,518,1930,0.268,false
9,08:12:39:652,Long Strafe Bot,ADSable Hitscan Cone,3.737s,1946,544,0.28,499,1770,0.282,false
10,08:12:44:255,Long Strafe Bot,ADSable Hitscan Cone,4.341s,1924,541,0.281,500,1750,0.286,false
11,08:12:49:757,Long Strafe Bot,ADSable Hitscan Cone,5.241s,2749,540,0.196,501,2500,0.2,false
12,08:12:56:174,Long Strafe Bot,ADSable Hitscan Cone,6.158s,3233,544,0.168,505,2940,0.172,false
13,08:13:00:928,Long Strafe Bot,ADSable Hitscan Cone,4.491s,2320,543,0.234,507,2110,0.24,false
14,08:13:05:996,Long Strafe Bot,ADSable Hitscan Cone,4.813s,2518,543,0.216,500,2290,0.218,false
15,08:13:10:606,Long Strafe Bot,ADSable Hitscan Cone,4.353s,2034,541,0.266,503,1850,0.272,false
16,08:13:16:761,Long Strafe Bot,ADSable Hitscan Cone,5.89s,3079,676,0.22,631,2800,0.225,false
17,08:13:21:973,Long Strafe Bot,ADSable Hitscan Cone,4.959s,2584,372,0.144,372,2350,0.158,false
18,08:13:26:951,Long Strafe Bot,ADSable Hitscan Cone,4.716s,2254,544,0.241,504,2050,0.246,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
ADSable Hitscan Cone,40253,9753,9126.0,36610.0,

Kills:,18
Deaths:,0
Fight Time:,83.330002
Avg TTK:,4.629
Damage Done:,9126.0
Damage Taken:,0.0
Midairs:,223
Midaired:,0
Directs:,627
Directed:,0
Distance Traveled:,0.0
Score:,2274.894287
Scenario:,Ascended Tracking v3
Hash:,46026d159b844451a38af3608d7c9e8a
Game Version:,1.0.7.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,3.0
Vert Sens:,3.0
FOV:,104.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
