Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:45:34:388,Long Strafe Bot,ADSable Hitscan Cone,3.039s,1682,511,0.304,501,1530,0.327,false
2,15:45:39:387,Long Strafe Bot,ADSable Hitscan Cone,4.744s,2155,541,0.251,502,1960,0.256,false
3,15:45:43:425,Long Strafe Bot,ADSable Hitscan Cone,3.782s,1495,546,0.365,507,1360,0.373,false
4,15:45:49:398,Long Strafe Bot,ADSable Hitscan Cone,5.944s,2914,615,0.211,607,2650,0.229,false
5,15:45:54:272,Long Strafe Bot,ADSable Hitscan Cone,4.454s,2320,395,0.17,395,2110,0.187,false
6,15:45:58:486,Long Strafe Bot,ADSable Hitscan Cone,3.956s,1946,543,0.279,505,1770,0.285,false
7,15:46:03:292,Long Strafe Bot,ADSable Hitscan Cone,4.545s,1715,530,0.309,502,1560,0.322,false
8,15:46:08:121,Long Strafe Bot,ADSable Hitscan Cone,4.565s,1627,552,0.339,501,1480,0.339,false
9,15:46:11:696,Long Strafe Bot,ADSable Hitscan Cone,3.321s,1594,546,0.343,507,1450,0.35,false
10,15:46:16:656,Long Strafe Bot,ADSable Hitscan Cone,3.58s,1979,564,0.285,560,1800,0.311,false
11,15:46:18:640,Long Strafe Bot,ADSable Hitscan Cone,1.737s,901,472,0.524,448,820,0.546,false
12,15:46:24:862,Long Strafe Bot,ADSable Hitscan Cone,5.964s,2265,586,0.259,532,2060,0.258,false
13,15:46:29:416,Long Strafe Bot,ADSable Hitscan Cone,4.29s,2210,481,0.218,481,2010,0.239,false
14,15:46:33:169,Long Strafe Bot,ADSable Hitscan Cone,3.497s,1770,532,0.301,505,1610,0.314,false
15,15:46:37:398,Long Strafe Bot,ADSable Hitscan Cone,3.974s,1858,501,0.27,501,1690,0.296,false
16,15:46:41:711,Long Strafe Bot,ADSable Hitscan Cone,4.051s,1825,554,0.304,505,1660,0.304,false
17,15:46:44:393,Long Strafe Bot,ADSable Hitscan Cone,2.422s,1209,548,0.453,503,1100,0.457,false
18,15:46:48:954,Long Strafe Bot,ADSable Hitscan Cone,4.302s,2034,548,0.269,509,1850,0.275,false
19,15:46:55:782,Long Strafe Bot,ADSable Hitscan Cone,6.564s,3167,504,0.159,504,2880,0.175,false
20,15:46:59:605,Long Strafe Bot,ADSable Hitscan Cone,3.57s,1825,500,0.274,500,1660,0.301,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
ADSable Hitscan Cone,38634,10569,10075.0,35140.0,

Kills:,20
Deaths:,0
Fight Time:,82.301003
Avg TTK:,4.115
Damage Done:,10075.0
Damage Taken:,0.0
Midairs:,222
Midaired:,0
Directs:,494
Directed:,0
Distance Traveled:,0.0
Score:,2888.606201
Scenario:,Ascended Tracking v3
Hash:,46026d159b844451a38af3608d7c9e8a
Game Version:,1.0.7.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,3.0
Vert Sens:,3.0
FOV:,104.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
