Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:12:22:672,Quaker Bot Fast Strafes,LG,13.151s,287,50,0.174,300,1722,0.174,false
2,12:12:38:663,Quaker Bot Fast Strafes,LG,15.716s,309,50,0.162,300,1854,0.162,false
3,12:12:57:039,Quaker Bot Fast Strafes,LG,18.101s,361,50,0.139,300,2166,0.139,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1173,184,1104.0,7038.0,

Kills:,3
Deaths:,0
Fight Time:,46.967999
Avg TTK:,15.656
Damage Done:,1104.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,519.529419
Scenario:,Cata IC Fast Strafes
Hash:,ae0024fa5045348cf5200beda4716333
Game Version:,1.0.7.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,3.0
Vert Sens:,3.0
FOV:,104.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
