Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,00:32:59:435,Quaker Bot Long Strafes,LG,11.867s,259,50,0.193,300,1554,0.193,false
2,00:33:11:720,Quaker Bot Long Strafes,LG,12.009s,223,50,0.224,300,1338,0.224,false
3,00:33:21:963,Quaker Bot Long Strafes,LG,9.968s,182,50,0.275,300,1092,0.275,false
4,00:33:33:938,Quaker Bot Long Strafes,LG,11.7s,217,50,0.23,300,1302,0.23,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1115,241,1446.0,6690.0,

Kills:,4
Deaths:,0
Fight Time:,45.543999
Avg TTK:,11.386
Damage Done:,1446.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,941.495056
Score:,937.630493
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,1.0.7.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,3.0
Vert Sens:,3.0
FOV:,104.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
