Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:54:37:901,Quaker Bot Long Strafes,LG,8s,175,50,0.286,300,1050,0.286,false
2,15:54:47:318,Quaker Bot Long Strafes,LG,9.143s,164,50,0.305,300,984,0.305,false
3,15:54:56:969,Quaker Bot Long Strafes,LG,9.376s,170,50,0.294,300,1020,0.294,false
4,15:55:05:128,Quaker Bot Long Strafes,LG,7.885s,138,50,0.362,300,828,0.362,false
5,15:55:13:470,Quaker Bot Long Strafes,LG,8.068s,140,50,0.357,300,840,0.357,false
6,15:55:22:373,Quaker Bot Long Strafes,LG,8.628s,153,50,0.327,300,918,0.327,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1044,325,1950.0,6264.0,

Kills:,6
Deaths:,0
Fight Time:,51.099998
Avg TTK:,8.517
Damage Done:,1950.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,1821.120728
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,1.0.7.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,3.0
Vert Sens:,3.0
FOV:,104.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
