Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:27:04:271,Quaker Bot Long Strafes,LG,6.668s,146,50,0.342,300,876,0.342,false
2,23:27:12:547,Quaker Bot Long Strafes,LG,8s,138,50,0.362,300,828,0.362,false
3,23:27:20:900,Quaker Bot Long Strafes,LG,8.078s,140,50,0.357,300,840,0.357,false
4,23:27:30:767,Quaker Bot Long Strafes,LG,9.592s,175,50,0.286,300,1050,0.286,false
5,23:27:38:712,Quaker Bot Long Strafes,LG,7.671s,132,50,0.379,300,792,0.379,false
6,23:27:48:254,Quaker Bot Long Strafes,LG,9.267s,166,50,0.301,300,996,0.301,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1036,349,2094.0,6216.0,

Kills:,6
Deaths:,0
Fight Time:,49.276001
Avg TTK:,8.213
Damage Done:,2094.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,2116.233643
Scenario:,Cata IC Long Strafes
Hash:,9bcb93b2f0c30298e66553395dca1bca
Game Version:,1.0.7.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,3.0
Vert Sens:,3.0
FOV:,104.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
