Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:27:49:739,Quaker Bot Long Strafes Thin,LG,19.594s,427,50,0.117,300,2562,0.117,false
2,12:28:10:273,Quaker Bot Long Strafes Thin,LG,20.259s,380,50,0.132,300,2280,0.132,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,809,100,600.0,4854.0,

Kills:,2
Deaths:,0
Fight Time:,39.853001
Avg TTK:,19.927
Damage Done:,600.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,278.337524
Score:,0.0
Scenario:,Close Long Strafes Thin
Hash:,2fbb973a9dad17179fda3d52ef317349
Game Version:,1.0.7.2

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Apex Legends
Horiz Sens:,3.0
Vert Sens:,3.0
FOV:,104.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
